id_ano;ano
1;1494
2;1500
3;1502
4;1505
5;1548
6;1549
7;1550
8;1560
9;1576
10;1580
11;1587
12;1591
13;1593
14;1603
15;1612
16;1618
17;1620
18;1626
19;1627
20;1631
21;1633
22;1639
23;1640
24;1644
25;1647
26;1648
27;1657
28;1663
29;1671
30;1694
31;1702
32;1711
33;1721
34;1725
35;1750
36;1757
37;1758
38;1759
39;1760
40;1761
41;1767
42;1774
43;1780
44;1783
45;1785
46;1786
47;1789
48;1795
49;1798
50;1805
51;1808
52;1809
53;1810
54;1815
55;1816
56;1817
57;1818
58;1819
59;1822
60;1823
61;1824
62;1825
63;1826
64;1827
65;1828
66;1829
67;1830
68;1831
69;1834
70;1835
71;1836
72;1838
73;1839
74;1840
75;1841
76;1845
77;1849
78;1850
79;1852
80;1853
81;1855
82;1856
83;1857
84;1860
85;1861
86;1862
87;1863
88;1864
89;1865
90;1867
91;1868
92;1870
93;1871
94;1873
95;1874
96;1875
97;1876
98;1877
99;1879
100;1880
101;1881
102;1883
103;1884
104;1885
105;1887
106;1888
107;1889
108;1890
109;1891
110;1892
111;1893
112;1895
113;1897
114;1898
115;1900
116;1901
117;1902
118;1903
119;1904
120;1911
121;1912
122;1912
123;1913
124;1914
125;1915
126;1916
127;1917
128;1918
129;1919
130;1920
131;1922
132;1925
133;1926
134;1927
135;1928
136;1930
137;1931
138;1932
139;1933
140;1934
141;1935
142;1937
143;1938
144;1939
145;1940
146;1941
147;1942
148;1943
149;1944
150;1945
151;1947
152;1948
153;1949
154;1950
155;1951
156;1952
157;1953
158;1954
159;1955
160;1957
161;1958
162;1960
163;1961
164;1962
165;1963
166;1964
167;1965
168;1966
169;1967
170;1968
171;1969
172;1971
173;1972
174;1973
175;1975
176;1976
177;1977
178;1978
179;1979
180;1980
181;1981
182;1982
183;1983
184;1984
185;1985
186;1986
187;1987
188;1989
189;1990
190;1991
191;1992
192;1993
193;1994
194;1995
195;1997
196;1999
197;2000
198;2001
199;2002
200;2003
201;2004
202;2006
203;2007
204;2008
205;2009
206;2010
207;2012
208;2013
209;2014
210;2015
211;2016
212;2017
213;2018
214;2019
215;2020
216;2021
217;2022
218;2023
219;2024
220;2025
221;1578
222;2005
