id_documento;nome_documento;tipo_documento
1;Propaganda do TK 85;Propaganda
2;Propaganda do TK 95;Propaganda
3;Propaganda do TK 82-C 6;Propaganda
4;Trechos da carta de Pero Vaz de Caminha;Carta
5;Fotografia 1;Fotografia
6;Os Caminhos do Ouro;Artefato
7;Mapa do Brasil - atual Mapa das províncias brasileiras - 1822;Mapa
8;"Trecho 1 de ""Triste fim de Policarpo Quaresma""";Literatura
9;"Trecho 2 de ""Triste fim de Policarpo Quaresma""";Literatura
10;Documento 1;Documento
11;Charge 1;Charge
12;Bandoleiros, cangaceiros e matreiros;Fotografia
13;Viagem à Província de Goiás (Auguste de Saint-Hilaire);Texto de viajante
14;Diário de uma Viagem ao Brasil (Maria Graham);Texto de viajante
15;O que era a “língua geral”? (Glossário);Texto de viajante
16;A morte de Solano Lopez;Gravura
17;Relatório apresentado ao parlamento holandês;Trecho de relatório
18;“A Era do Automóvel”, João do Rio;Crônica
19;Propaganda de automóvel;Propaganda
20;O Bom-Crioulo;Texto literário
21;Dossiê “Marujada em fúria!” (Artigos);Texto literário
22;Documento do Conselho da Fazenda, 1657;Mapa
23;Mapa da divisão territorial do país, séc. XVII;Mapa
24;Mapa das colônias portuguesas à época das Grandes Navegações;Mapa
25;Mapa indicando o local contemporâneo das antigas colônias;Mapa
26;"Trecho do jornal ""A Plebe""";Artigo de jornal
27;Voto feminino;Trecho de artigo de jornal
28;"Artigo de jornal ""Direito de voto feminino completa 76 anos no Brasil""";Artigo de jornal
29;Viagem à terra do Brasil de Jean de Léry;Texto de viajante
30;Viagem à terra do Brasil (Versão/Trecho adicional);Texto de viajante
31;Lista de colonos;Listagem oficial
32;O preço da liberdade;Artigo de revista
33;Artigo da revista Anauê (1935);Artigo de revista
34;Cartaz integralista;Cartaz
35;"Trecho de ""Cultura e opulência do Brasil""";Trecho de livro
36;Imagem de Santa;Artefato
37;"Trecho do texto ""Falso moralismo""";Artigo de revista
38;Sugestões de leituras sobre a ditadura;Livros e sites
39;Uma nuvem que cresce cada vez mais;Gravura
