id_fase;num_fase;id_edicao;tipo_fase
1;1;1;Avaliativa
2;2;1;Avaliativa
3;3;1;Avaliativa
4;4;1;Avaliativa
5;1;2;Avaliativa
6;2;2;Avaliativa
7;3;2;Avaliativa
8;4;2;Avaliativa
9;1;3;Avaliativa
10;2;3;Avaliativa
11;3;3;Avaliativa
12;4;3;Avaliativa
13;1;4;Avaliativa
14;2;4;Avaliativa
15;3;4;Avaliativa
16;4;4;Avaliativa
17;1;5;Avaliativa
18;2;5;Avaliativa
19;3;5;Avaliativa
20;4;5;Avaliativa
21;1;6;Avaliativa
22;2;6;Avaliativa
23;3;6;Avaliativa
24;4;6;Avaliativa
25;1;7;Avaliativa
26;2;7;Avaliativa
27;3;7;Avaliativa
28;4;7;Avaliativa
29;1;8;Avaliativa
30;2;8;Avaliativa
31;3;8;Avaliativa
32;4;8;Avaliativa
33;1;9;Avaliativa
34;2;9;Avaliativa
35;3;9;Avaliativa
36;4;9;Avaliativa
37;5;9;Desafio
38;1;10;Avaliativa
39;2;10;Avaliativa
40;3;10;Avaliativa
41;4;10;Avaliativa
42;5;10;Desafio
43;1;11;Avaliativa
44;2;11;Avaliativa
45;3;11;Avaliativa
46;4;11;Avaliativa
47;5;11;Desafio
48;6;11;Finalista
49;0;12;Introdutoria
50;1;12;Avaliativa
51;2;12;Avaliativa
52;3;12;Avaliativa
53;4;12;Avaliativa
54;5;12;Desafio
55;6;12;Finalista
56;1;13;Avaliativa
57;2;13;Avaliativa
58;3;13;Avaliativa
59;4;13;Avaliativa
60;5;13;Desafio
61;6;13;Finalista
62;1;14;Avaliativa
63;2;14;Avaliativa
64;3;14;Avaliativa
65;4;14;Avaliativa
66;5;14;Desafio
67;6;14;Finalista
68;1;15;Avaliativa
69;2;15;Avaliativa
70;3;15;Avaliativa
71;4;15;Avaliativa
72;5;15;Desafio
73;6;15;Finalista
74;1;16;Avaliativa
75;2;16;Avaliativa
76;3;16;Avaliativa
77;4;16;Avaliativa
78;5;16;Desafio
79;6;16;Finalista
80;1;17;Avaliativa
81;2;17;Avaliativa
82;3;17;Avaliativa
83;4;17;Avaliativa
84;5;17;Desafio
85;6;17;Finalista
