id_QD;id_questao;id_documento
1;1;1
2;1;2
3;1;3
4;2;4
5;3;4
6;4;5
7;5;6
8;6;7
9;7;8
10;7;9
11;8;10
12;9;11
13;11;12
14;12;13
15;12;14
16;12;15
17;13;16
18;14;17
19;15;18
20;15;19
21;16;20
22;16;21
23;17;22
24;17;23
25;17;24
26;17;25
27;18;26
28;19;27
29;19;28
30;21;29
31;21;30
32;22;31
33;23;32
34;24;33
35;24;34
36;25;35
37;25;36
38;26;37
39;26;38
40;27;39
41;28;40
42;29;41
43;29;42
44;30;43
45;31;44
46;31;45
47;32;46
48;33;47
49;34;48
50;34;49
51;35;50
52;36;51
53;37;51
54;38;52
55;38;53
56;39;54
