id_tag;tag_nome
1;Computador
2;Comunicações
3;Tecnologia
4;Séc XX
5;Carta de Caminha
6;Séc XVI
7;Colonização
8;Formação do território nacional
9;Séc. XX
10;Urbanização
11;Séc. XVIII
12;Cultura material
13;Mineração
14;Atividades econômicas
15;Mapas Brasil
16;Séc. XXI
17;Lima Barreto
18;Literatura
19;Cidade
20;Séc. XIX
21;Escravidão
22;Imprensa
23;Lampião
24;Cangaço
25;Movimentos sociais
26;Viajantes
27;Usos e costumes
28;Vida Cotidiana
29;Guerra do Paraguai
30;Holandeses no Brasil
31;Automóvel
32;Indústria automobilística
33;Punições
34;Revolta da Chibata
35;Texto literário
36;Classe operária
37;Voto
38;Mulheres
39;Trabalho indígena
40;População nativa
41;Imigração
42;Cultura política
43;Integralismo
44;Ditadura
45;Tortura
46;Segunda Guerra Mundial
47;Navegação a vapor
48;Carta
49;Conselho Ultramarino
50;Representação política
51;Jesuítas
52;Bandeirantes
53;Historiografia
54;Nação
55;Monarquia
56;Arqueologia
57;Pré-história
58;História da ciência
59;Identidade nacional
60;Pobreza urbana
61;Desigualdade social
62;futebol
63;cartografia
64;Fernando Collor
65;Machado de Assis
66;Getúlio Vargas
67;Museu
68;Conjuração Bahiana
69;Amazônia
70;abolição
71;Tiradentes
72;propaganda
73;história oral
74;ditadura militar
75;música
76;comunismo
77;engenhos
78;patrimônio cultural
79;povoamento da América
80;Constituição Federal
81;Palmares
82;epidemias
83;iconografia
84;leis e direitos
85;messianismo
86;expansão do território
87;ciência
88;história da mulher
89;II Guerra Mundial
90;religião
91;festas e procissões
92;abolicionismo
93;produção textual
94;República Velha
95;Coronelismo
96;Cortiços
97;Espaço Urbano
98;Era Glacial
99;Clima Tropical
100;Desenvolvimentismo
101;Rodovias
102;Plano de Metas
103;Operárias
104;Industrialização
105;Saúde Pública
106;Barroco
107;Anistia
108;Direitos Políticos
109;Arquitetura Religiosa
110;Hospícios
111;Carta Testamento
112;Educação
113;Quilombos
114;Exílio
115;Cinema
116;Arte urbana
117;grafite
118;Constituição
119;Imprensa Feminina
120;Feminismo
121;Povos Indígenas
122;Arqueologia Histórica
123;Consumo
124;fake news
125;inteligência artificial
